InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
591422,51298,VINTAGE SNAKES & LADDERS,1,10-05-2011,19.35,,United Kingdom
733676,29072,  WOODEN PICTURE FRAME WHITE FINISH,6,31/12/2010,7.07,18993.0,United Kingdom
189743,48289, RETRO COFFEE MUG SET,17,03-11-2011,11.47,,United Kingdom
203565,55101, ASSORTED COLOUR BIRD ORNAMENT ,2,06-10-2011,7.7,15496.0,United Kingdom
333169,85846,CERAMIC TEA POT FLORAL,5,"Mar 13, 2012",8.45,13853.0,Belgium
443288,12928,WHITE HANGING HEART T-LIGHT HOLDER ,4,27-02-2011,10.67,12153.0,United Kingdom
278130,20662,RETRO COFFEE MUG SET ,4,10-19-2011,5.89,,United Kingdom
127213,68582,  SET OF 3 CAKE TINS PANTRY DESIGN,5,10-19-2012,15.65,,United Kingdom
161086,43556, PLANT POTS GARDEN SET ,2,"May 16, 2012",10.22,17450.0,United Kingdom
579095,85911,  SET OF 3 CAKE TINS PANTRY DESIGN,6,"Nov 17, 2012",3.04,11431.0,Netherlands
792894,91748,HOME DECOR LIGHT STRING,1,14-03-2011,14.87,15226.0,United Kingdom
305671,35301,RETRO COFFEE MUG SET,1,"Dec 09, 2010",10.79,17174.0,Portugal
448249,58171,WHITE HANGING HEART T-LIGHT HOLDER,1,10-11-2012,10.38,12192.0,United Kingdom
202652,52278, SCENTED CANDLE GIFT PACK ,7,"Jun 04, 2012",12.04,15412.0,United Kingdom
688033,65735,JUMBO BAG RED RETROSPOT,2,"Dec 09, 2011",7.11,14771.0,United Kingdom
656831,44142,  BIRTHDAY CARD VINTAGE DESIGN ,6,"Feb 28, 2011",12.91,,United Kingdom
705803,93468,  PARTY BUNTING ,6,10-04-2011,5.6,18796.0,United Kingdom
606199,70301,  PLANT POTS GARDEN SET,1,2011-11-03 00:00:00,19.82,15288.0,EIRE
500435,97267,JUMBO BAG RED RETROSPOT,5,2011-03-05 00:00:00,8.22,17885.0,Portugal
614060,67443,  WOODEN PICTURE FRAME WHITE FINISH,-2,21-08-2012,4.51,,Japan
691684,66333, SET OF 3 CAKE TINS PANTRY DESIGN,1,12/03/2011,20.23,11740.0,United Kingdom
C509898,84974,WOODEN PICTURE FRAME WHITE FINISH,1,InvalidDate,5.28,14380.0,United Kingdom
C698411,57940,SCENTED CANDLE GIFT PACK ,5,15/07/2011,7.49,19072.0,United Kingdom
567543,94124, PACK OF 72 RETROSPOT CAKE CASES ,5,08-12-2010,13.48,19304.0,Switzerland
590224,22818,  VINTAGE SNAKES & LADDERS ,3,"Aug 18, 2011",6.6,10305.0,Belgium
539844,70558, RETRO COFFEE MUG SET,5,08-11-2012,5.48,,United Kingdom
478824,68073, HOME DECOR LIGHT STRING ,3,2011-11-03 00:00:00,16.92,10084.0,France
932441,65215,JUMBO BAG RED RETROSPOT,1,"Feb 08, 2012",7.79,19832.0,United Kingdom
395107,81152, PACK OF 72 RETROSPOT CAKE CASES ,2,20-02-2011,4.93,15796.0,United Kingdom
103420,31148, PLANT POTS GARDEN SET,3,2011-12-20 00:00:00,5.0,11763.0,United Kingdom
242108,58239, WOODEN PICTURE FRAME WHITE FINISH,5,09-01-2012,8.25,16531.0,France
121996,54557, HOME DECOR LIGHT STRING ,2,17-08-2012,10.83,15678.0,United Kingdom
138712,42602,  PARTY BUNTING,9,15-07-2012,8.08,15760.0,EIRE
201489,38522, VINTAGE SNAKES & LADDERS ,1,"Jul 30, 2012",7.11,10415.0,United Kingdom
965404,92799,  SCENTED CANDLE GIFT PACK ,3,2011-06-19 00:00:00,7.32,10215.0,United Kingdom
911146,37075,  WHITE HANGING HEART T-LIGHT HOLDER,3,30/03/2011,7.22,16725.0,United Kingdom
591112,74435,  SET OF 3 CAKE TINS PANTRY DESIGN ,-1,09/02/2012,8.15,17416.0,Netherlands
510749,81834,  WHITE HANGING HEART T-LIGHT HOLDER,-1,08-01-2011,7.8,16924.0,Belgium
150468,81094,  SCENTED CANDLE GIFT PACK ,3,22-06-2012,4.65,11547.0,United Kingdom
332321,89552, SET OF 3 CAKE TINS PANTRY DESIGN ,3,2011-11-25 00:00:00,6.26,14930.0,United Kingdom
C820394,27693,CERAMIC TEA POT FLORAL ,2,24/08/2012,3.16,13334.0,United Kingdom
572312,31330, JUMBO BAG RED RETROSPOT ,1,07/01/2012,6.27,,France
C250853,42294,BIRTHDAY CARD VINTAGE DESIGN ,7,InvalidDate,10.79,,United Kingdom
C430515,49925, PACK OF 72 RETROSPOT CAKE CASES ,3,27-07-2011,6.05,11495.0,United Kingdom
421402,99007,  REGENCY CAKESTAND 3 TIER ,4,2012-09-08 00:00:00,8.08,,Australia
685894,40473,HOME DECOR LIGHT STRING ,1,01-08-2012,7.29,14608.0,United Kingdom
818730,83920, RETRO COFFEE MUG SET ,1,2011-03-23 00:00:00,4.25,18484.0,United Kingdom
444572,22196,  JUMBO BAG RED RETROSPOT ,3,09-08-2012,3.56,19385.0,United Kingdom
250494,83229,  REGENCY CAKESTAND 3 TIER ,3,"Jul 27, 2012",16.72,14185.0,Belgium
399266,47305,JUMBO BAG RED RETROSPOT,6,2012-04-16 00:00:00,7.58,19176.0,United Kingdom
616394,97329,PARTY BUNTING,1,17/02/2012,10.24,13566.0,Netherlands
501752,28680,JUMBO BAG RED RETROSPOT ,-8,"Jul 21, 2011",13.35,12129.0,Portugal
644444,57345,RETRO COFFEE MUG SET ,8,2012-04-19 00:00:00,3.26,16241.0,Portugal
365026,71683,PLANT POTS GARDEN SET ,4,29-03-2011,5.56,12949.0,EIRE
789622,54706,JUMBO BAG RED RETROSPOT,7,2010-12-17 00:00:00,4.04,19757.0,France
463634,45571, WHITE HANGING HEART T-LIGHT HOLDER ,1,22/06/2012,5.31,15137.0,Spain
674901,69547,  BIRTHDAY CARD VINTAGE DESIGN ,3,10-04-2012,6.82,17934.0,United Kingdom
867023,27084, SCENTED CANDLE GIFT PACK,10,26-11-2012,2.93,13659.0,United Kingdom
126128,98294,SET OF 3 CAKE TINS PANTRY DESIGN,1,04-10-2011,12.03,18611.0,United Kingdom
200025,33384,SCENTED CANDLE GIFT PACK,3,03-08-2011,24.56,10561.0,EIRE
370855,49726,  JUMBO BAG RED RETROSPOT ,4,10-05-2011,6.71,14341.0,United Kingdom
444950,76600, ASSORTED COLOUR BIRD ORNAMENT,3,2011-03-23 00:00:00,14.56,11667.0,United Kingdom
298017,51850, PLANT POTS GARDEN SET,2,21-11-2011,6.5,12450.0,United Kingdom
730458,14595, PLANT POTS GARDEN SET,5,05-30-2011,15.76,17278.0,United Kingdom
738668,25577,SET OF 3 CAKE TINS PANTRY DESIGN,9,23-08-2012,8.8,10267.0,United Kingdom
959391,23065,WHITE HANGING HEART T-LIGHT HOLDER,1,09/06/2011,12.07,19548.0,Australia
477721,77310,REGENCY CAKESTAND 3 TIER,1,10-02-2011,13.4,14309.0,United Kingdom
568298,93045,  REGENCY CAKESTAND 3 TIER ,1,27/04/2011,4.47,,United Kingdom
879533,87810, VINTAGE SNAKES & LADDERS ,4,02-01-2011,3.98,19210.0,United Kingdom
567143,59979,CERAMIC TEA POT FLORAL,-6,08-07-2011,6.3,14308.0,United Kingdom
370151,76404, SET OF 3 CAKE TINS PANTRY DESIGN,1,14-07-2011,5.23,18169.0,Portugal
570098,27412, WHITE HANGING HEART T-LIGHT HOLDER,1,16/12/2010,5.1,14984.0,United Kingdom
797845,89624,WOODEN PICTURE FRAME WHITE FINISH,2,"Jul 19, 2011",7.99,18417.0,France
601443,46153,WHITE HANGING HEART T-LIGHT HOLDER ,3,"Jan 01, 2012",8.52,,United Kingdom
801562,81540,  PACK OF 72 RETROSPOT CAKE CASES ,3,2011-05-02 00:00:00,7.64,13278.0,United Kingdom
520531,17393,WHITE HANGING HEART T-LIGHT HOLDER ,3,16/10/2012,5.05,,Spain
440191,45178, PARTY BUNTING ,6,16-10-2011,5.07,16306.0,Spain
768640,59581,PARTY BUNTING ,7,05-02-2012,7.91,18652.0,France
536282,26246,SCENTED CANDLE GIFT PACK ,1,2011-10-03 00:00:00,16.5,17967.0,United Kingdom
933230,70521, REGENCY CAKESTAND 3 TIER,1,29-01-2011,4.95,19770.0,United Kingdom
336545,10005, WOODEN PICTURE FRAME WHITE FINISH,3,2011-08-11 00:00:00,22.55,17735.0,United Kingdom
588633,98730, SCENTED CANDLE GIFT PACK,3,16/06/2011,7.73,14792.0,United Kingdom
674349,83509,  RETRO COFFEE MUG SET,2,16/08/2012,9.1,,Switzerland
174723,18816, VINTAGE SNAKES & LADDERS,2,"Jun 10, 2012",5.63,,United Kingdom
404603,25329,SET OF 3 CAKE TINS PANTRY DESIGN,2,"Jun 10, 2012",21.1,,United Kingdom
363246,81548,ASSORTED COLOUR BIRD ORNAMENT ,-9,01/06/2011,2.64,,United Kingdom
252110,12821, LUNCH BAG RED RETROSPOT,3,"Mar 22, 2011",16.25,19906.0,United Kingdom
883924,83062,  REGENCY CAKESTAND 3 TIER,6,08/12/2011,20.49,16671.0,United Kingdom
446872,52369, CERAMIC TEA POT FLORAL,7,"Jun 08, 2012",23.54,18661.0,United Kingdom
910372,94224,PLANT POTS GARDEN SET,1,20/12/2010,20.43,12318.0,Netherlands
281902,45950, ASSORTED COLOUR BIRD ORNAMENT,2,"Jan 19, 2012",9.81,,United Kingdom
452935,71589,PLANT POTS GARDEN SET ,1,"May 03, 2011",11.64,15894.0,Netherlands
520594,59393, SET OF 3 CAKE TINS PANTRY DESIGN ,1,20/03/2012,20.94,10992.0,Germany
292941,65916,  WHITE HANGING HEART T-LIGHT HOLDER,2,10-09-2011,17.2,16760.0,Germany
697121,92418, PLANT POTS GARDEN SET ,8,2011-12-27 00:00:00,5.47,,United Kingdom
704019,32444, HOME DECOR LIGHT STRING ,1,"Sep 13, 2012",7.31,11609.0,United Kingdom
809687,81612, HOME DECOR LIGHT STRING ,1,09-15-2011,6.99,15319.0,Belgium
612552,47850, PARTY BUNTING ,8,2011-07-27 00:00:00,6.68,13495.0,United Kingdom
429408,28477,  LUNCH BAG RED RETROSPOT,3,InvalidDate,20.22,17829.0,United Kingdom
C869153,15054,REGENCY CAKESTAND 3 TIER ,2,02-18-2012,19.41,12285.0,United Kingdom
726701,97342,  BIRTHDAY CARD VINTAGE DESIGN ,1,10-12-2011,5.88,13796.0,EIRE
411372,27745, SCENTED CANDLE GIFT PACK ,1,"May 09, 2012",3.41,15643.0,United Kingdom
666752,72244,PLANT POTS GARDEN SET,10,01-06-2011,7.81,15183.0,Switzerland
631520,62185, HOME DECOR LIGHT STRING ,1,"Feb 27, 2012",9.88,16795.0,Belgium
872291,38069, WOODEN PICTURE FRAME WHITE FINISH,1,23-07-2012,3.62,17249.0,United Kingdom
658669,14288,HOME DECOR LIGHT STRING,5,06-13-2012,10.85,,United Kingdom
C647340,77561,HOME DECOR LIGHT STRING ,2,08-04-2012,24.2,,United Kingdom
773289,64862,  SET OF 3 CAKE TINS PANTRY DESIGN,1,2011-01-04 00:00:00,6.16,,United Kingdom
308106,10211,  JUMBO BAG RED RETROSPOT,4,2011-04-12 00:00:00,5.73,19316.0,United Kingdom
497099,69267,PARTY BUNTING,3,"May 17, 2011",6.19,17124.0,Switzerland
335835,89031,  PACK OF 72 RETROSPOT CAKE CASES ,1,2011-04-21 00:00:00,14.39,16521.0,United Kingdom
787100,31383,  SET OF 3 CAKE TINS PANTRY DESIGN,3,18/08/2011,20.58,13733.0,United Kingdom
349836,61993,  VINTAGE SNAKES & LADDERS,2,06-06-2012,18.22,15882.0,United Kingdom
127313,28409,SCENTED CANDLE GIFT PACK,3,"Sep 14, 2012",7.88,12831.0,United Kingdom
959705,13599,ASSORTED COLOUR BIRD ORNAMENT,1,25-09-2012,16.49,14389.0,United Kingdom
997422,92277,JUMBO BAG RED RETROSPOT ,9,12/12/2010,29.4,11353.0,United Kingdom
732829,41007,HOME DECOR LIGHT STRING,2,13/04/2011,6.16,,United Kingdom
600827,11659, VINTAGE SNAKES & LADDERS,-6,"Jul 18, 2011",6.72,18574.0,United Kingdom
356427,75308,  VINTAGE SNAKES & LADDERS,2,06-18-2012,5.86,13216.0,United Kingdom
189407,50382,REGENCY CAKESTAND 3 TIER ,1,25/02/2011,5.44,19545.0,United Kingdom
178422,98377,JUMBO BAG RED RETROSPOT ,5,08-17-2012,32.13,,Japan
700280,69478, CERAMIC TEA POT FLORAL ,1,"Apr 23, 2012",7.07,15460.0,United Kingdom
902207,89183,  CERAMIC TEA POT FLORAL,1,2011-08-31 00:00:00,12.47,,United Kingdom
907784,53381, WHITE HANGING HEART T-LIGHT HOLDER ,-7,2012-01-09 00:00:00,14.22,11568.0,EIRE
553814,33908,PACK OF 72 RETROSPOT CAKE CASES,2,17-08-2011,9.96,12259.0,EIRE
334745,93098,  REGENCY CAKESTAND 3 TIER,4,23-10-2012,11.6,,France
594775,57951,RETRO COFFEE MUG SET,7,2010-12-01 00:00:00,17.63,,United Kingdom
362037,83678,  SET OF 3 CAKE TINS PANTRY DESIGN ,1,"Sep 15, 2011",2.77,,Switzerland
C578193,16661, VINTAGE SNAKES & LADDERS,2,"May 12, 2012",9.8,14166.0,Spain
C235024,47078,  JUMBO BAG RED RETROSPOT,2,"Apr 28, 2011",6.53,18783.0,United Kingdom
113703,46719,  REGENCY CAKESTAND 3 TIER ,7,2010-12-10 00:00:00,5.25,,United Kingdom
335068,11600,PARTY BUNTING,2,30-09-2012,8.5,16477.0,United Kingdom
614756,20832, LUNCH BAG RED RETROSPOT ,1,20-10-2011,7.07,16357.0,United Kingdom
838456,88000,WHITE HANGING HEART T-LIGHT HOLDER ,2,11-22-2011,16.07,13718.0,United Kingdom
862476,68817, JUMBO BAG RED RETROSPOT,3,2011-02-07 00:00:00,7.24,15944.0,United Kingdom
247049,76189,REGENCY CAKESTAND 3 TIER,3,09/07/2012,3.44,14536.0,Netherlands
184106,51521,BIRTHDAY CARD VINTAGE DESIGN,4,12-07-2011,3.84,11203.0,Japan
412712,82498,JUMBO BAG RED RETROSPOT ,2,15/11/2011,4.15,12392.0,United Kingdom
518779,26603,  PARTY BUNTING ,8,13/11/2011,5.91,12614.0,United Kingdom
509675,61986,PARTY BUNTING ,8,"Sep 30, 2012",6.22,12589.0,United Kingdom
467375,22937, WHITE HANGING HEART T-LIGHT HOLDER ,2,10-12-2011,8.82,13560.0,United Kingdom
804463,14870, PARTY BUNTING ,-4,2011-11-03 00:00:00,15.09,19332.0,Japan
547154,77902,  PACK OF 72 RETROSPOT CAKE CASES,6,08/10/2012,13.92,15073.0,EIRE
728758,51783,  VINTAGE SNAKES & LADDERS ,3,08-01-2012,12.08,11235.0,United Kingdom
362571,15149, REGENCY CAKESTAND 3 TIER,-6,"Oct 02, 2012",11.13,15127.0,Spain
659650,85955,  WOODEN PICTURE FRAME WHITE FINISH ,7,08-06-2012,5.43,14473.0,France
352712,62253,PARTY BUNTING ,-9,21-10-2012,9.64,,France
409717,19280,  REGENCY CAKESTAND 3 TIER ,4,01/08/2012,17.54,,United Kingdom
248188,87259, LUNCH BAG RED RETROSPOT,12,09-03-2011,3.21,12283.0,United Kingdom
148784,18539,WHITE HANGING HEART T-LIGHT HOLDER,2,06-16-2012,5.77,17213.0,Portugal
291012,32102,WOODEN PICTURE FRAME WHITE FINISH,2,10/12/2010,13.41,18560.0,United Kingdom
777236,97278, CERAMIC TEA POT FLORAL ,4,2012-03-29 00:00:00,14.46,13689.0,Belgium
733389,39202, BIRTHDAY CARD VINTAGE DESIGN ,2,2011-12-09 00:00:00,8.76,,United Kingdom
930176,19449,  VINTAGE SNAKES & LADDERS ,2,2011-07-17 00:00:00,11.79,18687.0,Switzerland
129092,37086,VINTAGE SNAKES & LADDERS ,1,2012-08-29 00:00:00,5.61,18126.0,United Kingdom
506529,91924, LUNCH BAG RED RETROSPOT ,3,23/01/2011,7.02,16328.0,United Kingdom
940268,89424, BIRTHDAY CARD VINTAGE DESIGN,3,25/12/2010,12.56,,United Kingdom
427597,29796, RETRO COFFEE MUG SET ,2,"May 07, 2012",7.78,16352.0,United Kingdom
713614,40624, WHITE HANGING HEART T-LIGHT HOLDER,1,05-01-2011,5.7,10792.0,United Kingdom
188919,16566, REGENCY CAKESTAND 3 TIER,1,01-08-2011,8.79,10337.0,United Kingdom
553112,63839, SCENTED CANDLE GIFT PACK ,3,21-03-2011,13.59,18273.0,United Kingdom
C109472,46660, HOME DECOR LIGHT STRING,1,23/04/2012,7.02,,United Kingdom
512857,46972,PLANT POTS GARDEN SET,1,2012-04-19 00:00:00,7.43,11820.0,France
C139236,64649,PARTY BUNTING ,0,2011-03-13 00:00:00,-1.0,12796.0,United Kingdom
C443822,86830,SCENTED CANDLE GIFT PACK ,6,08-23-2012,21.43,,United Kingdom
946334,16565, ASSORTED COLOUR BIRD ORNAMENT ,3,31-08-2012,25.38,13345.0,Spain
410414,98287,  PACK OF 72 RETROSPOT CAKE CASES,1,27-12-2011,21.79,10641.0,United Kingdom
460777,65208, VINTAGE SNAKES & LADDERS,5,16-10-2012,7.78,19033.0,United Kingdom
C960075,48349,  WHITE HANGING HEART T-LIGHT HOLDER,8,01-18-2012,4.09,15402.0,United Kingdom
666134,69414,SET OF 3 CAKE TINS PANTRY DESIGN,1,01-07-2011,21.47,17986.0,United Kingdom
962219,20908, WHITE HANGING HEART T-LIGHT HOLDER,3,07-04-2011,9.73,,France
199122,22787,  PLANT POTS GARDEN SET,1,04-01-2012,20.03,14653.0,United Kingdom
323009,33703, PACK OF 72 RETROSPOT CAKE CASES ,1,2012-10-08 00:00:00,7.06,,United Kingdom
341540,43895, WOODEN PICTURE FRAME WHITE FINISH,2,05-01-2012,2.52,16186.0,United Kingdom
597619,13889,WOODEN PICTURE FRAME WHITE FINISH ,2,03-19-2012,15.17,18475.0,United Kingdom
283258,19966,ASSORTED COLOUR BIRD ORNAMENT ,1,2012-02-16 00:00:00,5.11,18192.0,Spain
635505,40129,REGENCY CAKESTAND 3 TIER ,-8,2012-08-21 00:00:00,9.04,13395.0,United Kingdom
607532,40755,  BIRTHDAY CARD VINTAGE DESIGN,3,InvalidDate,24.22,12440.0,United Kingdom
956566,16955,  WOODEN PICTURE FRAME WHITE FINISH ,3,15-12-2011,6.08,13718.0,United Kingdom
354084,66105,  LUNCH BAG RED RETROSPOT,1,2012-09-20 00:00:00,6.94,12995.0,United Kingdom
131126,68528, ASSORTED COLOUR BIRD ORNAMENT ,1,06-24-2011,10.25,11801.0,United Kingdom
735960,97725,LUNCH BAG RED RETROSPOT ,1,"Nov 02, 2011",6.89,14167.0,EIRE
674839,85276,  VINTAGE SNAKES & LADDERS ,4,13/04/2012,4.42,,United Kingdom
884752,85801, PACK OF 72 RETROSPOT CAKE CASES,2,09-15-2012,19.17,10946.0,Spain
586383,46176, VINTAGE SNAKES & LADDERS ,8,21/06/2011,4.18,16840.0,United Kingdom
876041,54787, LUNCH BAG RED RETROSPOT,4,"Aug 10, 2011",9.36,,United Kingdom
475579,88885,  HOME DECOR LIGHT STRING ,5,"Jun 29, 2011",4.73,,United Kingdom
847642,55406, ASSORTED COLOUR BIRD ORNAMENT ,2,15-01-2012,6.14,15217.0,United Kingdom
541259,97367,  REGENCY CAKESTAND 3 TIER,4,"May 09, 2011",9.81,11105.0,United Kingdom
385916,24002,WHITE HANGING HEART T-LIGHT HOLDER ,8,"Nov 17, 2012",7.95,,United Kingdom
178422,98377,JUMBO BAG RED RETROSPOT ,5,08-17-2012,32.13,,Japan
978752,78344,  BIRTHDAY CARD VINTAGE DESIGN,5,01-22-2011,5.95,16612.0,France
555209,19305,ASSORTED COLOUR BIRD ORNAMENT,1,12-04-2011,19.15,13881.0,Netherlands
592108,15316, ASSORTED COLOUR BIRD ORNAMENT ,8,28/01/2011,8.83,18268.0,United Kingdom
588633,98730, SCENTED CANDLE GIFT PACK,3,16/06/2011,7.73,14792.0,United Kingdom
760601,37299,LUNCH BAG RED RETROSPOT,2,2012-04-04 00:00:00,7.07,,EIRE
732900,85922,  ASSORTED COLOUR BIRD ORNAMENT ,3,30/03/2011,11.77,,United Kingdom
724135,25729,  BIRTHDAY CARD VINTAGE DESIGN ,1,InvalidDate,12.22,16767.0,United Kingdom
223323,29874,PLANT POTS GARDEN SET,-4,"Jul 15, 2011",7.91,19369.0,United Kingdom
869362,81642, SET OF 3 CAKE TINS PANTRY DESIGN ,2,06/12/2011,19.27,16661.0,Belgium
907733,56612,  PACK OF 72 RETROSPOT CAKE CASES,3,24-01-2012,18.14,14887.0,United Kingdom
C138409,89036,  SET OF 3 CAKE TINS PANTRY DESIGN ,1,"Jul 29, 2012",5.97,17720.0,United Kingdom
595336,44052,JUMBO BAG RED RETROSPOT,3,"Dec 16, 2010",14.18,,United Kingdom
309496,92486,VINTAGE SNAKES & LADDERS ,1,24-09-2011,6.51,16070.0,Belgium
495215,34089,  REGENCY CAKESTAND 3 TIER,1,25/10/2011,5.02,19727.0,France
780516,79806, CERAMIC TEA POT FLORAL ,2,09-26-2012,4.92,,France
973321,42076,ASSORTED COLOUR BIRD ORNAMENT ,8,09-03-2011,27.05,14149.0,United Kingdom
349402,28909,WHITE HANGING HEART T-LIGHT HOLDER,4,01-09-2012,22.56,,United Kingdom
313596,69241,PARTY BUNTING,1,"Feb 19, 2011",8.89,19321.0,France
334456,34575,SET OF 3 CAKE TINS PANTRY DESIGN,1,01-30-2011,18.51,11090.0,France
814152,93133,  JUMBO BAG RED RETROSPOT ,1,04-29-2012,7.6,19206.0,Japan
390320,55704, BIRTHDAY CARD VINTAGE DESIGN,4,04/07/2012,7.42,,United Kingdom
184179,39402,  ASSORTED COLOUR BIRD ORNAMENT,1,27-07-2012,10.55,16686.0,United Kingdom
543333,51095,  ASSORTED COLOUR BIRD ORNAMENT ,4,2012-08-04 00:00:00,4.38,19232.0,United Kingdom
814075,14257,  VINTAGE SNAKES & LADDERS ,1,"Feb 25, 2012",13.4,16375.0,Germany
325461,94238, PLANT POTS GARDEN SET,1,"Jul 13, 2011",8.44,17384.0,Spain
181147,82392,JUMBO BAG RED RETROSPOT ,1,12-20-2010,18.77,13807.0,United Kingdom
792749,62092,  JUMBO BAG RED RETROSPOT ,2,"Nov 26, 2012",9.11,10129.0,France
675312,64240,ASSORTED COLOUR BIRD ORNAMENT,1,17/01/2011,5.34,12256.0,United Kingdom
850385,39190,PLANT POTS GARDEN SET,-7,08-10-2012,14.41,12172.0,Germany
845658,30511,PARTY BUNTING,4,07-10-2012,2.94,17060.0,United Kingdom
362399,66377,LUNCH BAG RED RETROSPOT,2,28-01-2012,14.43,14540.0,United Kingdom
135790,93115,PACK OF 72 RETROSPOT CAKE CASES ,5,2011-09-22 00:00:00,3.38,17424.0,United Kingdom
360123,40194,PARTY BUNTING,10,12-11-2010,13.9,18905.0,Spain
727290,16457,CERAMIC TEA POT FLORAL ,2,2011-06-21 00:00:00,18.1,,United Kingdom
305463,57941,CERAMIC TEA POT FLORAL,1,2012-01-24 00:00:00,2.9,12974.0,Norway
167438,25489,ASSORTED COLOUR BIRD ORNAMENT ,3,14/09/2011,15.68,,United Kingdom
498722,40535,SCENTED CANDLE GIFT PACK ,4,"Jan 18, 2012",14.86,,United Kingdom
836661,85893,PACK OF 72 RETROSPOT CAKE CASES ,1,01-12-2010,9.65,18324.0,United Kingdom
757346,53016, RETRO COFFEE MUG SET,5,13/07/2011,13.07,15259.0,United Kingdom
592280,82657, PLANT POTS GARDEN SET ,12,"Jun 17, 2011",18.29,15191.0,Belgium
693975,17925,  CERAMIC TEA POT FLORAL,4,10-30-2012,12.2,13917.0,United Kingdom
883140,88872,RETRO COFFEE MUG SET ,5,2011-06-01 00:00:00,12.85,15448.0,Spain
248620,27600,CERAMIC TEA POT FLORAL ,-4,25-03-2012,28.0,18910.0,United Kingdom
641228,58566, REGENCY CAKESTAND 3 TIER ,-7,19/07/2011,7.62,14068.0,United Kingdom
945191,13392, PLANT POTS GARDEN SET,2,04-21-2012,14.21,14635.0,United Kingdom
994030,57452,JUMBO BAG RED RETROSPOT,8,10/05/2011,17.21,14567.0,United Kingdom
774255,28883,HOME DECOR LIGHT STRING,1,06-19-2011,3.48,11006.0,United Kingdom
939812,99934,WHITE HANGING HEART T-LIGHT HOLDER ,7,InvalidDate,7.5,,United Kingdom
678621,41280,  WOODEN PICTURE FRAME WHITE FINISH ,1,"Mar 15, 2012",4.79,12395.0,United Kingdom
874758,89314,  SCENTED CANDLE GIFT PACK ,2,28/08/2012,5.49,14291.0,Australia
579767,29623,  PACK OF 72 RETROSPOT CAKE CASES,2,20/09/2012,7.46,11116.0,Portugal
727797,39032,  WHITE HANGING HEART T-LIGHT HOLDER,1,08/08/2011,21.21,12505.0,United Kingdom
343768,56303,  RETRO COFFEE MUG SET,2,2011-05-06 00:00:00,8.79,15719.0,United Kingdom
989602,52967, REGENCY CAKESTAND 3 TIER ,1,"May 27, 2012",8.93,18105.0,United Kingdom
788340,71471,  REGENCY CAKESTAND 3 TIER,1,"Apr 30, 2012",11.72,16966.0,United Kingdom
963460,30954,  RETRO COFFEE MUG SET ,1,"Jun 10, 2011",7.41,,United Kingdom
520630,38514,  REGENCY CAKESTAND 3 TIER,4,10/05/2012,3.68,,United Kingdom
387062,41253,WHITE HANGING HEART T-LIGHT HOLDER,2,2012-04-22 00:00:00,9.82,15594.0,United Kingdom
861299,44720,LUNCH BAG RED RETROSPOT,5,24/11/2012,5.22,13827.0,United Kingdom
789197,14297,WOODEN PICTURE FRAME WHITE FINISH,4,06-23-2011,8.4,17807.0,United Kingdom
C753939,97171,  PACK OF 72 RETROSPOT CAKE CASES ,1,2012-08-08 00:00:00,10.49,10959.0,United Kingdom
726854,75552,  WHITE HANGING HEART T-LIGHT HOLDER,1,10-21-2012,5.26,17769.0,United Kingdom
